date,metal,price
1817-06-01,silver,1.29
1817-09-01,gold,19.39
1817-09-01,silver,1.29
1817-12-01,gold,19.39
1817-12-01,silver,1.29
1818-03-01,gold,19.39
1818-03-01,silver,1.29
1818-06-01,gold,19.39
1818-06-01,silver,1.29
1818-09-01,gold,19.39
1818-09-01,silver,1.29
1818-12-01,gold,19.39
1818-12-01,silver,1.29
1819-03-01,gold,19.39
1819-03-01,silver,1.29
1819-06-01,gold,19.39
1819-06-01,silver,1.29
1819-09-01,gold,19.39
1819-09-01,silver,1.29
1819-12-01,gold,19.39
1819-12-01,silver,1.29
1820-03-01,gold,19.39
1820-03-01,silver,1.29
1820-06-01,gold,19.39
1820-06-01,silver,1.29
1820-09-01,gold,19.39
1820-09-01,silver,1.29
1820-12-01,gold,19.39
1820-12-01,silver,1.29
1821-03-01,gold,19.39
1821-03-01,silver,1.29
1821-06-01,gold,19.39
1821-06-01,silver,1.29
1821-09-01,gold,19.39
1821-09-01,silver,1.29
1821-12-01,gold,19.39
1821-12-01,silver,1.29
1822-03-01,gold,19.39
1822-03-01,silver,1.29
1822-06-01,gold,19.39
1822-06-01,silver,1.29
1822-09-01,gold,19.39
1822-09-01,silver,1.29
1822-12-01,gold,19.39
1822-12-01,silver,1.29
1823-03-01,gold,19.39
1823-03-01,silver,1.29
1823-06-01,gold,19.39
1823-06-01,silver,1.29
1823-09-01,gold,19.39
1823-09-01,silver,1.29
1823-12-01,gold,19.39
1823-12-01,silver,1.29
1824-03-01,gold,19.39
1824-03-01,silver,1.29
1824-06-01,gold,19.39
1824-06-01,silver,1.29
1824-09-01,gold,19.39
1824-09-01,silver,1.29
1824-12-01,gold,19.39
1824-12-01,silver,1.29
1825-03-01,gold,19.39
1825-03-01,silver,1.29
1825-06-01,gold,19.39
1825-06-01,silver,1.29
1825-09-01,gold,19.39
1825-09-01,silver,1.29
1825-12-01,gold,19.39
1825-12-01,silver,1.29
1826-03-01,gold,19.39
1826-03-01,silver,1.29
1826-06-01,gold,19.39
1826-06-01,silver,1.29
1826-09-01,gold,19.39
1826-09-01,silver,1.29
1826-12-01,gold,19.39
1826-12-01,silver,1.29
1827-03-01,gold,19.39
1827-03-01,silver,1.29
1827-06-01,gold,19.39
1827-06-01,silver,1.29
1827-09-01,gold,19.39
1827-09-01,silver,1.29
1827-12-01,gold,19.39
1827-12-01,silver,1.29
1828-03-01,gold,19.39
1828-03-01,silver,1.29
1828-06-01,gold,19.39
1828-06-01,silver,1.29
1828-09-01,gold,19.39
1828-09-01,silver,1.29
1828-12-01,gold,19.39
1828-12-01,silver,1.29
1829-03-01,gold,19.39
1829-03-01,silver,1.29
1829-06-01,gold,19.39
1829-06-01,silver,1.29
1829-09-01,gold,19.39
1829-09-01,silver,1.29
1829-12-01,gold,19.39
1829-12-01,silver,1.29
1830-03-01,gold,19.39
1830-03-01,silver,1.29
1830-06-01,gold,19.39
1830-06-01,silver,1.29
1830-09-01,gold,19.39
1830-09-01,silver,1.29
1830-12-01,gold,19.39
1830-12-01,silver,1.29
1831-03-01,gold,19.39
1831-03-01,silver,1.29
1831-06-01,gold,19.39
1831-06-01,silver,1.29
1831-09-01,gold,19.39
1831-09-01,silver,1.29
1831-12-01,gold,19.39
1831-12-01,silver,1.29
1832-03-01,gold,19.39
1832-03-01,silver,1.29
1832-06-01,gold,19.39
1832-06-01,silver,1.29
1832-09-01,gold,19.39
1832-09-01,silver,1.29
1832-12-01,gold,19.39
1832-12-01,silver,1.29
1833-03-01,gold,19.39
1833-03-01,silver,1.29
1833-06-01,gold,19.39
1833-06-01,silver,1.29
1833-09-01,gold,19.39
1833-09-01,silver,1.29
1833-12-01,gold,19.39
1833-12-01,silver,1.29
1834-03-01,gold,19.39
1834-03-01,silver,1.29
1834-06-01,gold,19.39
1834-06-01,silver,1.29
1834-09-01,gold,20.69
1834-09-01,silver,1.29
1834-12-01,gold,20.69
1834-12-01,silver,1.29
1835-03-01,gold,20.69
1835-03-01,silver,1.29
1835-06-01,gold,20.69
1835-06-01,silver,1.29
1835-09-01,gold,20.69
1835-09-01,silver,1.29
1835-12-01,gold,20.69
1835-12-01,silver,1.29
1836-03-01,gold,20.69
1836-03-01,silver,1.29
1836-06-01,gold,20.69
1836-06-01,silver,1.29
1836-09-01,gold,20.69
1836-09-01,silver,1.29
1836-12-01,gold,20.69
1836-12-01,silver,1.29
1837-03-01,gold,20.69
1837-03-01,silver,1.35
1837-06-01,gold,20.67
1837-06-01,silver,1.35
1837-09-01,gold,22.70
1837-09-01,silver,1.35
1837-12-01,gold,21.60
1837-12-01,silver,1.35
1838-03-01,gold,21.52
1838-03-01,silver,1.30
1838-06-01,gold,21.52
1838-06-01,silver,1.30
1838-09-01,gold,20.69
1838-09-01,silver,1.30
1838-12-01,gold,20.73
1838-12-01,silver,1.30
1839-03-01,gold,20.73
1839-03-01,silver,1.30
1839-06-01,gold,20.73
1839-06-01,silver,1.30
1839-09-01,gold,20.73
1839-09-01,silver,1.30
1839-12-01,gold,20.73
1839-12-01,silver,1.30
1840-03-01,gold,20.73
1840-03-01,silver,1.30
1840-06-01,gold,20.73
1840-06-01,silver,1.30
1840-09-01,gold,20.73
1840-09-01,silver,1.30
1840-12-01,gold,20.73
1840-12-01,silver,1.30
1841-03-01,gold,20.73
1841-03-01,silver,1.29
1841-06-01,gold,20.73
1841-06-01,silver,1.29
1841-09-01,gold,20.67
1841-09-01,silver,1.29
1841-12-01,gold,20.67
1841-12-01,silver,1.29
1842-03-01,gold,20.67
1842-03-01,silver,1.29
1842-06-01,gold,20.67
1842-06-01,silver,1.29
1842-09-01,gold,20.73
1842-09-01,silver,1.29
1842-12-01,gold,20.69
1842-12-01,silver,1.29
1843-03-01,gold,20.69
1843-03-01,silver,1.29
1843-06-01,gold,20.71
1843-06-01,silver,1.29
1843-09-01,gold,20.67
1843-09-01,silver,1.29
1843-12-01,gold,20.67
1843-12-01,silver,1.29
1844-03-01,gold,20.67
1844-03-01,silver,1.29
1844-06-01,gold,20.67
1844-06-01,silver,1.29
1844-09-01,gold,20.67
1844-09-01,silver,1.29
1844-12-01,gold,20.67
1844-12-01,silver,1.29
1845-03-01,gold,20.67
1845-03-01,silver,1.29
1845-06-01,gold,20.67
1845-06-01,silver,1.29
1845-09-01,gold,20.67
1845-09-01,silver,1.29
1845-12-01,gold,20.67
1845-12-01,silver,1.29
1846-03-01,gold,20.67
1846-03-01,silver,1.29
1846-06-01,gold,20.67
1846-06-01,silver,1.29
1846-09-01,gold,20.67
1846-09-01,silver,1.29
1846-12-01,gold,20.67
1846-12-01,silver,1.29
1847-03-01,gold,20.67
1847-03-01,silver,1.29
1847-06-01,gold,20.67
1847-06-01,silver,1.29
1847-09-01,gold,20.67
1847-09-01,silver,1.29
1847-12-01,gold,20.67
1847-12-01,silver,1.29
1848-03-01,gold,20.67
1848-03-01,silver,1.29
1848-06-01,gold,20.67
1848-06-01,silver,1.29
1848-09-01,gold,20.67
1848-09-01,silver,1.29
1848-12-01,gold,20.67
1848-12-01,silver,1.29
1849-03-01,gold,20.67
1849-03-01,silver,1.29
1849-06-01,gold,20.67
1849-06-01,silver,1.29
1849-09-01,gold,20.67
1849-09-01,silver,1.29
1849-12-01,gold,20.67
1849-12-01,silver,1.29
1850-03-01,gold,20.67
1850-03-01,silver,1.29
1850-06-01,gold,20.67
1850-06-01,silver,1.29
1850-09-01,gold,20.67
1850-09-01,silver,1.29
1850-12-01,gold,20.67
1850-12-01,silver,1.29
1851-03-01,gold,20.67
1851-03-01,silver,1.29
1851-06-01,gold,20.67
1851-06-01,silver,1.29
1851-09-01,gold,20.67
1851-09-01,silver,1.29
1851-12-01,gold,20.67
1851-12-01,silver,1.29
1852-03-01,gold,20.67
1852-03-01,silver,1.29
1852-06-01,gold,20.67
1852-06-01,silver,1.29
1852-09-01,gold,20.67
1852-09-01,silver,1.29
1852-12-01,gold,20.67
1852-12-01,silver,1.29
1853-03-01,gold,20.67
1853-03-01,silver,1.29
1853-06-01,gold,20.67
1853-06-01,silver,1.29
1853-09-01,gold,20.67
1853-09-01,silver,1.29
1853-12-01,gold,20.67
1853-12-01,silver,1.29
1854-03-01,gold,20.67
1854-03-01,silver,1.29
1854-06-01,gold,20.67
1854-06-01,silver,1.29
1854-09-01,gold,20.67
